,College Name,Location,Accreditation,CD Rank,Courses,B.sc Fees,Review,Rating,URL
0,"St Stephen's College, New Delhi"," New Delhi, Delhi NCR",UGC Approved,#1,B.Sc (Hons.) Chemistry,"₹ 24,670",60,4,/college/4953-st-stephens-college-new-delhi
1,"Hindu College, New Delhi"," New Delhi, Delhi NCR",Null,#2,B.Sc (Hons.) Physics,"₹ 29,470",318,4,/college/1904-hindu-college-new-delhi
2,"Lady Shri Ram College for Women - [LSR], New Delhi"," New Delhi, Delhi NCR","UGC, MHRD Approved",#3,B.Sc (Hons.) Mathematics,"₹ 23,970",146,4,/college/2525-lady-shri-ram-college-for-women-lsr-new-delhi
3,"Miranda House, New Delhi"," New Delhi, Delhi NCR",Null,#4,B.Sc (Hons.) Physics,"₹ 19,800",210,4,/college/3004-miranda-house-new-delhi
4,"Loyola College, Chennai"," Chennai, Tamil Nadu",UGC Approved,#5,B.Sc,"₹ 48,940",241,4,/college/2595-loyola-college-chennai
5,"Madras Christian College - [MCC], Chennai"," Chennai, Tamil Nadu",UGC Approved,#6,B.Sc,"₹ 70,000",304,4,/college/2708-madras-christian-college-mcc-chennai
6,"Hansraj College - [HRC], New Delhi"," New Delhi, Delhi NCR",UGC Approved,#7,B.Sc Physical Science with Chemistry,"₹ 29,845",495,4,/college/1859-hansraj-college-hrc-new-delhi
7,"Presidency College, Chennai"," Chennai, Tamil Nadu",AICTE Approved,#8,B.Sc,"₹ 1,315",40,4,/college/3479-presidency-college-chennai
8,"Fergusson College, Pune"," Pune, Maharashtra",UGC Approved,#9,B.Sc,"₹ 14,580",166,4,/college/1284-fergusson-college-pune
9,"St. Xavier's College - [SXC], Kolkata"," Kolkata, West Bengal",UGC Approved,#10,B.Sc,"₹ 1,64,800",534,4,/college/4970-st-xaviers-college-sxc-kolkata
10,"Ramakrishna Mission Vivekananda Centenary College Rahara - [RKMVCC], Kolkata"," Kolkata, West Bengal",Null,#11,B.Sc,"₹ 13,000",70,3,/college/58362-ramakrishna-mission-vivekananda-centenary-college-rahara-rkmvcc-kolkata
11,"Kirori Mal College - [KMC], New Delhi"," New Delhi, Delhi NCR",Null,#12,B.Sc Applied Physical Science with Analytical Methods in Chemistry & Biochemistry,"₹ 16,815",530,4,/college/2438-kirori-mal-college-kmc-new-delhi
12,"St. Xavier's College, Mumbai"," Mumbai, Maharashtra",UGC Approved,#13,B.Sc,"₹ 14,771",251,4,/college/4973-st-xaviers-college-mumbai
13,"Ramjas College, New Delhi"," New Delhi, Delhi NCR",Null,#14,B.Sc (Hons.) Chemistry,"₹ 18,613",394,4,/college/3708-ramjas-college-new-delhi
14,"Ramakrishna Mission Vidyamandira, Howrah"," Howrah, West Bengal",UGC Approved,#15,B.Sc,"₹ 10,000",23,4,/college/3690-ramakrishna-mission-vidyamandira-howrah
15,"Sri Venkateswara College - Delhi, New Delhi"," New Delhi, Delhi NCR",Null,#16,B.Sc (Hons.) Physics,"₹ 19,967",265,4,/college/4840-sri-venkateswara-college-delhi-new-delhi
16,"Stella Maris College, Chennai"," Chennai, Tamil Nadu",UGC Approved,#17,B.Sc,"₹ 27,500",57,4,/college/4984-stella-maris-college-chennai
17,"Atma Ram Sanatan Dharma College - [ARSD], New Delhi"," New Delhi, Delhi NCR",UGC Approved,#18,B.Sc Applied Physical Science with Industrial Chemistry,"₹ 16,860",367,3,/college/330-atma-ram-sanatan-dharma-college-arsd-new-delhi
18,"Ramakrishna Mission Residential College - [RKMRC], Kolkata"," Kolkata, West Bengal",UGC Approved,#19,B.Sc,"₹ 47,100",73,4,/college/58353-ramakrishna-mission-residential-college-rkmrc-kolkata
19,"Deen Dayal Upadhyaya College, New Delhi"," New Delhi, Delhi NCR",UGC Approved,#20,B.Sc Physical Science with Chemistry,"₹ 31,555",213,3,/college/1001-deen-dayal-upadhyaya-college-new-delhi
20,"PSG College of Arts and Science, Coimbatore"," Coimbatore, Tamil Nadu",Null,#21,B.Sc,"₹ 7,000",190,4,/college/3332-psg-college-of-arts-and-science-coimbatore
21,"Mount Carmel College - [MCC], Bangalore"," Bangalore, Karnataka",UGC Approved,#22,B.Sc,"₹ 62,850",145,4,/college/3047-mount-carmel-college-mcc-bangalore
22,"Dyal Singh College - [DSC], New Delhi"," New Delhi, Delhi NCR",Null,#23,B.Sc Physical Science with Chemistry,"₹ 16,860",384,3,/college/1239-dyal-singh-college-dsc-new-delhi
23,"Lady Irwin College, New Delhi"," New Delhi, Delhi NCR",UGC Approved,#24,B.Sc (Hons.) Home Science,"₹ 40,235",61,4,/college/6890-lady-irwin-college-new-delhi
24,"Christ University, Bangalore"," Bangalore, Karnataka","UGC, NBA Approved",#25,B.Sc,"₹ 84,000",652,4,/university/25598-christ-university-bangalore
25,"Gargi College - [GC], New Delhi"," New Delhi, Delhi NCR",UGC Approved,#26,B.Sc Physical Science with Chemistry,"₹ 18,765",243,4,/college/1351-gargi-college-gc-new-delhi
26,"PSGR Krishnammal College for Women, Coimbatore"," Coimbatore, Tamil Nadu",UGC Approved,#27,B.Sc,"₹ 1,761",69,4,/college/3333-psgr-krishnammal-college-for-women-coimbatore
27,"Trivandrum University College, Thiruvananthapuram"," Thiruvananthapuram, Kerala",Null,#28,B.Sc,"₹ 67,500",52,4,/college/5215-trivandrum-university-college-thiruvananthapuram
28,"D.G. Ruparel College of Arts Science and Commerce, Mumbai"," Mumbai, Maharashtra",Null,#29,B.Sc,"₹ 6,965",66,3,/college/15717-dg-ruparel-college-of-arts-science-and-commerce-mumbai
29,"St Joseph's University, Bangalore"," Bangalore, Karnataka",UGC Approved,#30,B.Sc,"₹ 87,500",316,4,/university/58024-st-josephs-university-bangalore
30,"Jesus and Mary College - [JMC], New Delhi"," New Delhi, Delhi NCR",Null,#31,B.Sc (Hons.) Mathematics,"₹ 22,630",98,4,/college/2177-jesus-and-mary-college-jmc-new-delhi
31,"Mithibai College of Arts, Mumbai"," Mumbai, Maharashtra","AICTE, UGC Approved",#32,B.Sc,"₹ 15,400",450,4,/college/3006-mithibai-college-of-arts-mumbai
32,"PD Patel Institute of Applied Sciences - [PDPIAS], Anand"," Anand, Gujarat",AICTE Approved,#33,B.Sc,"₹ 70,000",2,4,/college/16770-pd-patel-institute-of-applied-sciences-pdpias-anand
33,"Ethiraj College for Women, Chennai"," Chennai, Tamil Nadu",UGC Approved,#34,B.Sc,"₹ 10,056",125,4,/college/1265-ethiraj-college-for-women-chennai
34,"Sri Guru Tegh Bahadur Khalsa College - [SGTB], New Delhi"," New Delhi, Delhi NCR",Null,#35,B.Sc (Hons.) Chemistry,"₹ 29,480",248,3,/college/4745-sri-guru-tegh-bahadur-khalsa-college-sgtb-new-delhi
35,"Mar Ivanios College, Thiruvananthapuram"," Thiruvananthapuram, Kerala",UGC Approved,#36,B.Sc,"₹ 4,670",85,4,/college/2915-mar-ivanios-college-thiruvananthapuram
36,"Ramnarain Ruia Autonomous College, Mumbai"," Mumbai, Maharashtra",UGC Approved,#37,B.Sc,"₹ 8,495",83,4,/college/3716-ramnarain-ruia-autonomous-college-mumbai
37,"St Xavier's College, Ahmedabad"," Ahmedabad, Gujarat",UGC Approved,#38,B.Sc,"₹ 15,510",104,4,/college/4969-st-xaviers-college-ahmedabad
38,"Scott Christian College, Nagercoil"," Nagercoil, Tamil Nadu","AICTE, UGC Approved",#39,B.Sc,"₹ 1,120",19,4,/college/4150-scott-christian-college-nagercoil
39,"Shaheed Rajguru College of Applied Sciences for Women, New Delhi"," New Delhi, Delhi NCR",UGC Approved,#40,B.Sc (Hons.) Computer Science,"₹ 25,080",93,3,/college/56934-shaheed-rajguru-college-of-applied-sciences-for-women-new-delhi
40,"Jamia Millia Islamia University-[JMI], New Delhi"," New Delhi, Delhi NCR","AICTE, UGC Approved",#41,B.Sc (Hons.) Applied Mathematics,"₹ 7,800",468,4,/university/25460-jamia-millia-islamia-universityjmi-new-delhi
41,"Acharya Narendra Dev College - [ANDC], New Delhi"," New Delhi, Delhi NCR",AICTE Approved,#42,B.Sc Physical Science with Chemistry,"₹ 14,224",179,3,/college/15560-acharya-narendra-dev-college-andc-new-delhi
42,"Women's Christian College - [WCC], Chennai"," Chennai, Tamil Nadu",Null,#43,B.Sc,"₹ 99,450",94,3,/college/5425-womens-christian-college-wcc-chennai
43,"Government Arts College (Autonomous), Coimbatore"," Coimbatore, Tamil Nadu",Null,#44,B.Sc,"₹ 1,375",38,4,/college/55553-government-arts-college-autonomous-coimbatore
44,"Kristu Jayanti College - [KJC], Bangalore"," Bangalore, Karnataka","AICTE, ACCA Approved",#45,B.Sc,"₹ 80,000",333,4,/college/28190-kristu-jayanti-college-kjc-bangalore
